unique case addrs: 161
op143 @0x41d183: calls[41f420] fields[]
op144 @0x41d1c7: calls[41f420] fields[]
op142 @0x41d24a: calls[40b460,41f420,43ed50,422480,4400a0] fields[]
op168 @0x41d37a: calls[40b460,41f420,43ed50,4400a0] fields[]
op145 @0x41d48c: calls[] fields[]
op136 @0x41d4b8: calls[41f420,4c6cb0] fields[]
op137 @0x41d500: calls[41f420] fields[]
op146 @0x41d5a8: calls[41f420,41fdf0] fields[]
op141 @0x41d5f5: calls[41f420,4400a0] fields[]
op147 @0x41d646: calls[41f420] fields[]
op148 @0x41d686: calls[41f420,423130] fields[]
op93 @0x41d6de: calls[41f400,40b460,420120,41f420,42a680] fields[]
op94 @0x41d8a3: calls[41f400,40b460,420120,410a70,41f420,42a680] fields[]
op95 @0x41da7d: calls[42efb0] fields[]
op149 @0x41da93: calls[41f420] fields[]
op150 @0x41dad9: calls[] fields[]
op112 @0x41dafc: calls[415c60] fields[]
op113 @0x41db0b: calls[41f420] fields[]
op151 @0x41dbf9: calls[] fields[]
op152 @0x41dc25: calls[420120,41f420] fields[]
op153 @0x41ddae: calls[4065f0] fields[]
op155 @0x41ddd6: calls[] fields[]
op156 @0x41de0c: calls[] fields[]
op157 @0x41de42: calls[41f420,4649a0] fields[]
op160 @0x41df60: calls[41f420,4065f0] fields[]
op161 @0x41dfaa: calls[420120,430d30] fields[]
op162 @0x41dffb: calls[430830] fields[]
op164 @0x41e00c: calls[41f420,41f0b0,420120,41f040] fields[]
op165 @0x41e114: calls[420120] fields[]
op166 @0x41e156: calls[420120,409060,420950,408d40] fields[]
op169 @0x41e28f: calls[40d390,43edb0,420950] fields[]
op173 @0x41e359: calls[41f420] fields[]
op183 @0x41e3b4: calls[41f420] fields[]
op176 @0x41e40f: calls[] fields[]
op82 @0x41e4d2: calls[420120] fields[]
op83 @0x41e532: calls[41f420] fields[]
op174 @0x41e589: calls[41f420,425b70,40bc40,407120] fields[]
op175 @0x41e650: calls[41f420] fields[]
op177 @0x41e690: calls[41f420] fields[]
op179 @0x41e6d4: calls[439007] fields[]
op180 @0x41e6e3: calls[4390d6] fields[]
op181 @0x41e6f2: calls[406dd0,45d550,406df0,439093,439050] fields[]
op182 @0x41e74b: calls[41f420] fields[]
op184 @0x41e7a3: calls[41f420,41f0e0] fields[]
0x41f420=GetVarValue  0x41fe10=GetIntPtr  0x420120=GetFloatVar  0x420950=GetFloatPtr
0x409060=sinf 0x408d40=cosf 0x40c7b0=EclAngleFromDxDy 0x41f090=EclAtan2
0x4065f0=SetCurrent 0x4069f0=SetAndExecuteScriptIdx 0x421de0=SUB_CALL 0x42c180=SET_POSinit
